wage,hours,IQ,educ,exper,tenure,age,married,black,south,urban
583,80,86,12,9,1,30,1,0,1,1
460,40,92,11,16,1,36,1,0,1,1
945,40,87,12,12,13,38,1,0,1,1
1442,60,117,16,9,3,31,1,0,1,1
1333,45,112,16,14,8,38,1,0,1,1
1500,37,119,15,8,5,33,0,0,0,1
1333,45,103,16,7,1,34,1,0,0,1
700,40,74,12,16,4,36,1,1,1,1
973,36,81,13,11,5,32,1,0,1,1
2162,40,124,18,10,8,32,1,0,1,1
797,41,89,12,10,7,36,1,0,1,0
400,40,88,12,14,1,32,1,1,1,1
1015,40,67,12,15,11,32,1,1,0,1
1744,43,106,16,8,9,29,1,0,1,1
630,40,103,15,14,2,32,1,0,1,0
445,40,91,12,11,4,32,1,0,1,0
660,42,101,16,12,9,31,1,0,1,1
779,40,85,12,14,7,37,1,1,1,1
377,40,83,12,9,1,36,0,0,1,1
560,44,70,12,16,11,35,1,1,1,1
1122,60,102,17,7,13,32,1,0,1,1
453,50,94,12,9,2,30,1,0,1,0
1386,40,97,10,17,9,37,1,0,1,1
1539,40,115,17,7,9,31,1,0,1,1
1154,40,117,16,11,12,35,1,0,1,1
962,50,105,14,15,2,37,1,0,1,1
722,55,113,16,8,1,38,0,0,1,1
480,40,83,12,9,3,37,1,0,1,1
808,50,101,18,8,9,38,1,0,1,0
1442,40,113,13,14,8,36,1,0,1,1
1091,50,88,13,13,4,37,1,0,0,1
350,40,93,12,16,0,33,0,1,1,1
500,40,83,12,18,11,36,1,1,1,1
1026,45,113,16,9,13,30,1,0,1,1
577,40,106,17,11,7,33,0,1,1,1
1333,60,106,15,5,1,30,1,0,1,1
915,55,114,12,17,9,37,1,0,0,1
1105,40,119,16,9,10,30,0,0,1,1
910,40,82,14,5,5,30,1,1,1,1
1000,40,89,12,17,8,38,1,0,1,1
1160,40,74,12,14,1,33,1,1,1,1
1001,34,77,12,12,3,29,1,1,1,1
713,40,75,12,5,12,36,1,1,1,1
929,40,97,13,12,5,30,1,0,1,1
400,50,68,12,4,9,31,1,1,1,1
1241,40,83,13,9,10,33,1,0,1,1
1065,40,97,12,21,10,36,1,0,1,1
403,45,98,12,5,3,30,1,0,1,1
940,45,102,13,15,12,30,1,1,1,1
812,40,81,10,17,13,34,1,1,1,1
700,20,85,10,13,0,35,1,1,1,1
575,40,86,10,12,6,33,1,1,1,1
450,40,79,10,20,5,36,1,1,1,1
621,43,84,12,14,10,31,1,0,1,0
441,38,74,12,12,11,30,1,0,1,0
625,40,92,16,6,9,33,1,1,1,0
726,45,93,12,16,5,36,1,0,1,0
500,40,69,9,21,13,38,1,1,1,1
1000,44,113,17,8,2,34,1,0,1,1
393,48,92,12,15,16,38,1,0,1,1
600,40,127,12,8,3,28,0,0,1,0
962,50,109,12,21,12,37,1,0,1,0
962,40,97,12,15,4,34,1,0,1,0
865,40,66,11,10,7,30,1,0,0,1
1154,50,109,16,10,3,35,1,0,1,1
1386,42,109,16,10,11,34,1,0,1,0
732,40,104,12,10,7,36,1,0,1,1
865,40,85,13,4,9,34,1,0,1,1
700,40,81,12,13,13,31,1,0,1,0
975,40,87,9,20,10,37,1,0,1,0
1300,40,78,13,12,3,33,1,0,1,1
900,40,54,14,12,3,31,1,0,1,1
829,40,98,12,15,15,36,1,0,0,1
1000,40,98,12,17,13,36,1,0,1,1
827,40,105,16,7,8,30,1,0,0,1
500,44,87,13,5,2,31,1,0,1,1
1155,40,117,13,9,1,28,1,0,0,1
950,55,85,15,8,3,29,0,0,0,1
700,40,82,13,10,4,30,1,0,0,1
1710,45,114,18,7,6,32,1,0,0,1
533,30,65,12,5,1,32,0,1,0,1
2004,48,105,18,10,0,34,1,0,0,1
890,60,92,14,9,8,32,1,0,0,1
3078,30,107,13,11,4,29,1,0,0,1
1539,40,111,17,10,13,37,1,0,0,1
508,40,73,12,1,1,31,1,1,0,1
1354,40,119,17,13,9,35,0,0,0,0
1143,35,97,12,21,8,38,1,0,0,1
962,40,110,12,16,8,33,1,0,0,1
1250,44,96,12,19,20,38,1,0,0,1
990,40,67,12,16,3,34,1,1,0,1
905,40,102,12,17,4,37,1,0,0,0
926,55,64,12,18,0,38,1,0,0,1
1559,40,103,12,17,10,34,1,0,0,1
1312,40,118,10,14,4,32,1,0,0,1
923,40,118,14,8,16,35,1,1,0,1
879,40,118,18,1,9,31,1,0,0,1
800,25,75,13,14,1,38,1,0,1,1
1049,50,112,14,6,10,32,1,0,0,0
550,40,95,12,4,1,30,0,0,0,0
1190,40,119,17,4,2,34,1,0,0,1
583,48,94,14,10,6,37,1,0,0,0
1200,40,103,14,5,2,30,1,0,0,1
797,55,90,16,11,5,33,1,0,0,1
1371,40,128,18,8,13,36,1,0,0,0
360,55,110,13,11,1,38,0,1,0,1
1270,40,84,12,11,12,30,1,0,0,1
1832,40,97,12,16,1,36,1,0,0,1
909,40,102,12,14,5,33,1,0,0,1
1746,40,131,18,9,10,33,1,0,0,1
520,40,126,16,8,1,30,1,0,0,1
808,40,107,16,6,7,29,1,0,0,0
2137,45,108,16,11,2,36,1,0,0,1
692,50,92,15,9,3,38,1,1,0,1
931,80,108,16,4,1,36,1,0,0,1
812,45,115,16,11,3,34,1,0,0,1
866,40,111,14,16,14,35,1,0,0,1
1442,40,115,12,14,9,36,1,0,0,1
500,40,101,14,12,0,32,1,0,0,0
1384,50,114,18,12,2,37,1,0,0,1
528,55,116,18,5,9,30,1,0,0,1
881,40,90,12,4,14,36,1,0,0,0
1026,45,125,12,11,11,28,1,0,0,1
1212,40,98,12,11,12,28,0,0,0,1
1620,38,111,15,8,5,29,1,0,0,0
1843,48,109,16,11,2,32,1,0,0,1
1602,60,124,16,12,2,37,1,0,0,1
1000,40,121,13,6,1,33,1,0,0,1
737,48,103,12,7,4,30,1,0,0,1
1699,40,96,12,10,1,29,0,0,1,1
1699,40,100,12,11,9,33,1,0,0,1
1025,48,104,14,6,5,32,1,0,0,1
1107,40,112,12,12,5,38,1,0,0,1
625,40,73,11,1,1,31,1,0,0,1
720,50,101,13,1,7,29,1,0,0,1
855,40,99,12,19,10,36,1,0,0,1
1250,40,95,12,12,2,32,1,0,0,1
1130,40,109,18,4,13,38,1,0,0,0
900,40,110,12,6,1,28,0,0,0,1
1924,50,98,17,6,7,38,1,0,0,1
962,40,112,15,8,2,37,1,0,0,1
1874,48,64,11,22,3,38,1,1,0,1
1573,55,90,12,5,3,30,1,0,0,1
940,45,102,14,11,7,36,1,0,0,1
900,40,119,16,8,9,30,1,0,0,0
882,44,96,12,15,13,31,1,0,0,0
1710,45,118,18,12,12,38,1,0,0,1
1260,45,79,12,19,15,37,1,0,0,0
751,40,96,12,9,7,38,1,0,0,0
1097,50,80,11,12,12,28,1,0,0,0
1001,48,137,13,11,11,33,1,0,0,0
1154,40,116,15,11,12,34,0,0,0,0
1000,43,69,12,15,16,35,1,0,0,1
1250,40,78,12,16,3,33,1,0,0,1
857,65,99,12,18,3,38,1,0,1,1
1211,27,92,12,13,3,31,1,0,0,1
937,32,113,16,12,7,29,1,0,0,1
904,50,98,13,7,1,33,1,0,0,1
872,45,115,15,7,4,29,1,0,0,1
1200,40,96,9,18,0,34,1,0,0,1
1261,40,117,17,1,9,35,1,0,0,1
950,40,96,12,14,2,35,1,0,0,1
115,50,108,12,9,3,29,1,0,0,1
673,40,92,17,6,4,31,1,0,0,1
1084,45,95,15,17,10,37,1,0,0,1
1058,40,94,14,13,14,34,1,0,0,1
800,40,115,12,20,12,38,1,0,0,0
369,40,117,18,11,1,31,0,0,0,0
1924,40,105,16,14,13,36,1,0,0,0
855,40,109,12,17,15,36,1,0,0,0
864,40,87,12,15,6,31,1,0,0,0
1092,44,110,16,15,13,36,1,0,0,1
1025,40,110,16,9,4,30,1,0,0,0
850,35,109,12,11,2,31,1,0,0,0
673,40,85,12,17,10,35,1,0,0,0
800,40,105,14,12,12,37,1,0,0,0
1049,44,122,16,7,3,33,1,0,0,0
884,40,108,17,9,11,35,1,0,0,1
800,40,122,16,10,2,31,0,0,1,1
1200,40,79,17,9,9,32,1,0,0,1
664,40,105,12,8,10,29,1,0,0,1
1111,45,90,12,18,18,37,1,0,0,1
850,43,111,16,8,8,34,1,0,0,1
1000,40,110,12,6,12,37,1,0,0,1
875,40,92,12,8,4,29,0,0,0,1
1202,40,131,16,10,2,33,1,0,0,0
666,40,104,12,10,2,29,1,0,0,0
923,40,110,16,15,11,37,1,0,0,0
788,40,99,12,10,10,28,1,0,1,1
950,40,86,10,23,5,38,1,0,1,1
1442,40,105,12,9,16,37,1,0,1,1
866,40,85,12,11,12,30,1,1,1,0
625,40,72,9,17,5,34,1,0,1,0
680,40,86,12,13,9,32,0,0,1,0
693,40,68,12,11,19,35,1,0,1,0
875,36,95,12,16,2,38,0,1,1,0
2308,40,116,17,8,2,38,1,0,0,0
1196,45,96,14,10,4,32,1,0,1,0
700,38,85,12,13,8,32,1,1,1,1
721,40,100,12,8,8,29,1,0,1,1
1500,40,101,13,13,2,32,1,0,1,1
1050,50,97,15,4,9,31,1,1,1,1
801,48,100,14,6,10,29,1,1,1,1
640,23,96,12,7,3,31,0,1,1,1
1198,32,117,16,7,9,30,1,0,1,1
390,55,93,12,4,2,32,1,0,1,1
889,36,116,12,12,11,28,1,0,1,1
1076,38,106,12,19,20,36,1,0,1,1
1127,40,98,12,17,12,36,1,0,1,1
750,50,103,15,1,1,37,1,0,1,0
855,40,118,14,6,14,33,1,0,1,0
525,40,100,13,5,1,31,1,0,1,0
1104,54,96,12,11,4,29,1,0,1,0
553,40,67,12,11,10,30,1,1,1,0
800,43,96,12,10,1,29,1,0,1,0
1384,50,104,13,8,7,31,1,0,1,0
425,30,106,17,8,0,36,0,0,1,0
510,54,62,11,13,4,33,0,1,1,1
370,32,73,12,13,2,31,1,1,1,0
596,40,62,12,16,14,33,1,1,1,0
402,40,76,12,9,4,28,1,1,0,1
418,40,76,12,12,2,31,1,1,1,0
1133,40,106,16,13,10,36,1,0,1,0
681,40,94,12,18,15,35,0,0,1,1
950,40,81,11,16,5,35,1,0,1,0
600,40,87,10,20,7,36,1,0,1,0
661,40,96,13,8,6,29,0,0,1,0
925,40,75,12,12,9,30,1,0,1,0
550,40,95,12,14,13,31,1,0,1,0
606,40,86,11,13,11,30,1,0,1,0
425,40,86,10,7,1,30,1,0,1,0
340,50,104,14,4,1,31,1,0,1,1
692,50,95,12,16,9,34,1,0,1,1
575,40,116,12,11,9,29,1,0,1,0
571,40,66,9,15,10,33,1,0,1,0
817,40,101,16,11,9,32,1,0,1,1
987,40,96,12,11,5,29,1,0,1,0
616,55,104,12,16,18,35,1,0,1,1
1026,60,105,16,12,1,35,1,0,0,1
808,40,106,12,4,3,29,1,0,0,1
808,50,101,17,8,0,30,1,0,1,1
788,40,96,12,13,5,36,1,0,1,1
850,40,105,12,6,2,33,1,0,0,1
900,38,106,12,10,19,38,1,0,1,1
1418,45,102,12,19,20,36,1,0,1,1
260,40,75,12,21,0,37,1,1,1,0
662,45,99,14,7,2,28,1,1,1,0
562,55,90,13,4,1,38,1,0,1,0
562,80,104,12,11,5,28,1,0,1,0
357,70,115,13,5,2,30,1,0,1,1
1009,40,118,16,11,12,32,1,0,1,0
1442,40,108,12,17,17,36,1,0,1,1
651,40,76,11,11,2,29,1,1,0,1
750,40,50,12,14,5,32,1,1,1,0
754,40,55,12,13,14,33,1,1,1,0
700,40,73,12,17,9,38,1,1,1,0
503,40,84,11,11,2,30,0,1,0,1
937,40,104,12,14,15,32,1,0,1,0
624,40,92,10,18,10,36,1,0,1,0
750,40,83,12,4,10,32,1,1,1,0
900,40,98,14,1,8,30,1,1,1,0
540,40,70,10,12,10,29,1,1,1,0
642,35,87,13,9,3,30,1,0,1,0
400,50,96,15,6,10,28,0,0,1,0
900,40,80,10,15,14,38,1,0,1,0
513,40,104,16,8,10,33,1,0,1,0
894,40,104,18,7,10,35,1,0,1,0
1282,60,96,18,7,5,32,1,0,1,1
485,40,89,12,10,9,30,0,0,1,0
325,55,113,12,11,5,29,1,0,1,0
769,45,105,12,16,5,33,1,0,1,0
618,40,84,14,6,8,31,0,0,1,1
1040,48,108,12,16,17,35,1,0,1,1
751,40,104,12,15,4,34,1,0,1,1
380,50,106,12,15,11,30,1,0,1,0
300,24,83,12,16,3,37,1,1,1,1
753,46,70,10,21,7,38,1,0,1,1
1065,65,104,16,10,11,34,1,0,1,1
1070,40,91,12,13,1,30,1,0,0,1
1573,55,112,18,7,8,34,1,0,1,1
650,40,97,10,14,9,30,1,0,1,0
700,45,99,12,15,7,32,1,0,1,0
494,40,74,12,16,4,34,1,1,1,0
890,48,100,12,4,8,31,1,0,1,0
520,40,86,10,15,12,31,1,0,1,0
891,40,90,12,16,16,32,1,0,1,0
570,50,101,12,11,12,30,1,0,0,1
1444,40,109,15,11,1,29,1,0,1,1
481,48,98,12,14,2,31,0,1,0,1
500,44,107,12,21,12,38,1,0,1,0
1473,40,110,16,15,15,36,1,0,1,0
803,40,120,13,4,1,28,1,0,1,1
962,50,97,16,7,2,30,1,0,1,1
1000,44,103,12,9,5,29,1,0,1,1
600,40,114,16,5,4,30,1,0,1,1
450,40,95,11,12,2,30,1,0,1,0
629,60,93,12,6,1,30,1,1,1,0
492,60,67,12,15,2,34,1,1,1,0
1562,40,97,17,7,2,32,1,0,1,1
357,70,97,14,6,3,28,1,0,1,0
960,40,83,13,14,13,32,1,0,1,1
566,45,104,16,5,2,32,1,0,1,0
481,40,82,12,9,2,32,1,0,1,0
1442,40,113,16,8,10,35,1,0,1,1
645,45,93,12,11,3,35,1,0,1,0
788,40,100,11,15,6,32,1,1,1,0
644,42,101,12,11,5,33,1,0,1,0
477,45,100,12,9,3,31,1,0,1,0
664,60,82,16,10,9,34,1,1,1,1
520,40,79,16,6,1,30,1,1,1,0
1202,40,102,13,10,3,31,1,0,1,1
538,45,77,12,12,10,28,1,1,1,0
873,44,109,12,12,12,28,1,0,1,0
1000,40,107,12,17,18,35,1,0,1,0
